Date,Zip Code,Pickup Location,Number of Trips Booked
2024/04/08,700108,Shyambazar,27
2024/04/08,700109,Bagbazar,12
2024/04/09,700001,B.B.D. Bagh,18
2024/04/09,700007,Esplanade,20
2024/04/09,700013,Chittaranjan Avenue,25
2024/04/09,700014,Bhowanipore,11
2024/04/09,700016,Park Street,14
2024/04/09,700019,Ballygunge,12
2024/04/09,700020,A.J.C. Bose Road,21
2024/04/09,700022,Hastings,11
2024/04/09,700025,Bhawanipore,14
2024/04/09,700026,Kalighat,26
2024/04/09,700027,Alipore,14
2024/04/09,700029,Dover Lane,10
2024/04/09,700031,Dhakuria,12
2024/04/09,700032,Bijoygarh,10
2024/04/09,700033,Indrani Park,16
2024/04/09,700034,Behala,15
2024/04/09,700042,Kasba,17
2024/04/09,700044,Badartala,21
2024/04/09,700046,Abinash Chaowdhury Lane,14
2024/04/09,700047,Ganguly Bagan,18
2024/04/09,700053,Kalabagan,13
2024/04/09,700054,Bengal Chemical,14
2024/04/09,700061,Jairampur,13
2024/04/09,700066,Bidhangarh,11
2024/04/09,700068,Jodhpur Park,16
2024/04/09,700069,Great Eastern Hotel,18
2024/04/09,700073,Colootola,35
2024/04/09,700075,Garfa,15
2024/04/09,700078,Haltu,13
2024/04/09,700082,Haridevpur,10
2024/04/09,700085,K.G. Bose Sarani,10
2024/04/09,700086,Baghajatin,11
2024/04/09,700088,Brace Bridge,9
2024/04/09,700095,Golf Green,10
2024/04/09,700099,Kalikapur,14
2024/04/09,700107,E.K.T,9
2024/04/09,700141,Daulatpur,10
2024/04/09,700008,Barisha,10
2024/04/09,700010,Beleghata,17
2024/04/09,700012,Bowbazar,24
2024/04/09,700015,Entally,11
2024/04/09,700017,Kidderpore,9
2024/04/09,700018,Bartala,13
2024/04/09,700021,Fort William,29
2024/04/09,700024,Garden Reach,18
2024/04/09,700072,Hindustan Building,26
2024/04/09,700135,Rajarhat,17
2024/04/09,700136,New Town,33
2024/04/09,700023,Khiddirpore,10
2024/04/09,700091,Salt Lake Sector I,17
2024/04/09,700098,Bidhan Nagar,16
2024/04/09,700105,Kankurgachi,12
2024/04/09,700106,Phool Bagan,12
2024/04/09,700108,Shyambazar,31
2024/04/09,700109,Bagbazar,14
2024/04/10,700001,B.B.D. Bagh,21
2024/04/10,700007,Esplanade,28
2024/04/10,700013,Chittaranjan Avenue,23
2024/04/10,700014,Bhowanipore,12
2024/04/10,700016,Park Street,34
2024/04/10,700019,Ballygunge,17
2024/04/10,700020,A.J.C. Bose Road,29
2024/04/10,700022,Hastings,6
2024/04/10,700025,Bhawanipore,14
2024/04/10,700026,Kalighat,21
2024/04/10,700027,Alipore,6
2024/04/10,700029,Dover Lane,12
2024/04/10,700031,Dhakuria,7
2024/04/10,700032,Bijoygarh,7
2024/04/10,700033,Indrani Park,14
2024/04/10,700034,Behala,14
2024/04/10,700042,Kasba,11
2024/04/10,700044,Badartala,17
2024/04/10,700046,Abinash Chaowdhury Lane,18
2024/04/10,700047,Ganguly Bagan,4
2024/04/10,700053,Kalabagan,9
2024/04/10,700054,Bengal Chemical,21
2024/04/10,700061,Jairampur,10
2024/04/10,700066,Bidhangarh,11
2024/04/10,700068,Jodhpur Park,12
2024/04/10,700069,Great Eastern Hotel,23
2024/04/10,700073,Colootola,23
2024/04/10,700075,Garfa,17
2024/04/10,700078,Haltu,15
2024/04/10,700082,Haridevpur,11
2024/04/10,700085,K.G. Bose Sarani,12
2024/04/10,700086,Baghajatin,18
2024/04/10,700088,Brace Bridge,21
2024/04/10,700095,Golf Green,11
2024/04/10,700099,Kalikapur,16
2024/04/10,700107,E.K.T,12
2024/04/10,700141,Daulatpur,15
2024/04/10,700008,Barisha,19
2024/04/10,700010,Beleghata,16
2024/04/10,700012,Bowbazar,28
2024/04/10,700015,Entally,18
2024/04/10,700017,Kidderpore,15
2024/04/10,700018,Bartala,11
2024/04/10,700021,Fort William,31
2024/04/10,700024,Garden Reach,10
2024/04/10,700072,Hindustan Building,24
2024/04/10,700135,Rajarhat,17
2024/04/10,700136,New Town,19
2024/04/10,700023,Khiddirpore,8
2024/04/10,700091,Salt Lake Sector I,17
2024/04/10,700098,Bidhan Nagar,16
2024/04/10,700105,Kankurgachi,12
2024/04/10,700106,Phool Bagan,10
2024/04/10,700108,Shyambazar,24
2024/04/10,700109,Bagbazar,13
2024/04/11,700001,B.B.D. Bagh,21
2024/04/11,700007,Esplanade,18
2024/04/11,700013,Chittaranjan Avenue,27
2024/04/11,700014,Bhowanipore,10
2024/04/11,700016,Park Street,12
2024/04/11,700019,Ballygunge,13
2024/04/11,700020,A.J.C. Bose Road,19
2024/04/11,700022,Hastings,12
2024/04/11,700025,Bhawanipore,11
2024/04/11,700026,Kalighat,16
2024/04/11,700027,Alipore,17
2024/04/11,700029,Dover Lane,9
2024/04/11,700031,Dhakuria,7
2024/04/11,700032,Bijoygarh,14
2024/04/11,700033,Indrani Park,11
2024/04/11,700034,Behala,17
2024/04/11,700042,Kasba,7
2024/04/11,700044,Badartala,9
2024/04/11,700046,Abinash Chaowdhury Lane,16
2024/04/11,700047,Ganguly Bagan,17
2024/04/11,700053,Kalabagan,15
2024/04/11,700054,Bengal Chemical,20
2024/04/11,700061,Jairampur,10
2024/04/11,700066,Bidhangarh,9
2024/04/11,700068,Jodhpur Park,13
2024/04/11,700069,Great Eastern Hotel,34
2024/04/11,700073,Colootola,17
2024/04/11,700075,Garfa,13
2024/04/11,700078,Haltu,10
2024/04/11,700082,Haridevpur,12
2024/04/11,700085,K.G. Bose Sarani,14
2024/04/11,700086,Baghajatin,15
2024/04/11,700088,Brace Bridge,8
2024/04/11,700095,Golf Green,11
2024/04/11,700099,Kalikapur,17
2024/04/11,700107,E.K.T,13
2024/04/11,700141,Daulatpur,11
2024/04/11,700008,Barisha,14
2024/04/11,700010,Beleghata,18
2024/04/11,700012,Bowbazar,19
2024/04/11,700015,Entally,15
2024/04/11,700017,Kidderpore,6
2024/04/11,700018,Bartala,11
2024/04/11,700021,Fort William,22
2024/04/11,700024,Garden Reach,11
2024/04/11,700072,Hindustan Building,21
2024/04/11,700135,Rajarhat,22
2024/04/11,700136,New Town,17
2024/04/11,700023,Khiddirpore,14
2024/04/11,700091,Salt Lake Sector I,22
2024/04/11,700098,Bidhan Nagar,22
2024/04/11,700105,Kankurgachi,12
2024/04/11,700106,Phool Bagan,12
2024/04/11,700108,Shyambazar,28
2024/04/11,700109,Bagbazar,14
2024/04/12,700001,B.B.D. Bagh,21
2024/04/12,700007,Esplanade,21
2024/04/12,700013,Chittaranjan Avenue,29
2024/04/12,700014,Bhowanipore,10
2024/04/12,700016,Park Street,21
2024/04/12,700019,Ballygunge,11
2024/04/12,700020,A.J.C. Bose Road,22
2024/04/12,700022,Hastings,19
2024/04/12,700025,Bhawanipore,10
2024/04/12,700026,Kalighat,14
2024/04/12,700027,Alipore,14
2024/04/12,700029,Dover Lane,14
2024/04/12,700031,Dhakuria,9
2024/04/12,700032,Bijoygarh,12
2024/04/12,700033,Indrani Park,17
2024/04/12,700034,Behala,17
2024/04/12,700042,Kasba,10
2024/04/12,700044,Badartala,6
2024/04/12,700046,Abinash Chaowdhury Lane,10
2024/04/12,700047,Ganguly Bagan,15
2024/04/12,700053,Kalabagan,10
2024/04/12,700054,Bengal Chemical,15
2024/04/12,700061,Jairampur,13
2024/04/12,700066,Bidhangarh,10
2024/04/12,700068,Jodhpur Park,17
2024/04/12,700069,Great Eastern Hotel,19
2024/04/12,700073,Colootola,26
2024/04/12,700075,Garfa,13
2024/04/12,700078,Haltu,16
2024/04/12,700082,Haridevpur,16
2024/04/12,700085,K.G. Bose Sarani,12
2024/04/12,700086,Baghajatin,12
2024/04/12,700088,Brace Bridge,15
2024/04/12,700095,Golf Green,12
2024/04/12,700099,Kalikapur,13
2024/04/12,700107,E.K.T,19
2024/04/12,700141,Daulatpur,9
2024/04/12,700008,Barisha,8
2024/04/12,700010,Beleghata,20
2024/04/12,700012,Bowbazar,28
2024/04/12,700015,Entally,22
2024/04/12,700017,Kidderpore,9
2024/04/12,700018,Bartala,12
2024/04/12,700021,Fort William,19
2024/04/12,700024,Garden Reach,12
2024/04/12,700072,Hindustan Building,11
2024/04/12,700135,Rajarhat,20
2024/04/12,700136,New Town,16
2024/04/12,700023,Khiddirpore,13
2024/04/12,700091,Salt Lake Sector I,25
2024/04/12,700098,Bidhan Nagar,23
2024/04/12,700105,Kankurgachi,10
2024/04/12,700106,Phool Bagan,11
2024/04/12,700108,Shyambazar,23
2024/04/12,700109,Bagbazar,10
2024/04/13,700001,B.B.D. Bagh,17
2024/04/13,700007,Esplanade,17
2024/04/13,700013,Chittaranjan Avenue,21
2024/04/13,700014,Bhowanipore,6
2024/04/13,700016,Park Street,15
2024/04/13,700019,Ballygunge,8
2024/04/13,700020,A.J.C. Bose Road,25
2024/04/13,700022,Hastings,12
2024/04/13,700025,Bhawanipore,8
2024/04/13,700026,Kalighat,17
2024/04/13,700027,Alipore,8
2024/04/13,700029,Dover Lane,11
2024/04/13,700031,Dhakuria,13
2024/04/13,700032,Bijoygarh,8
2024/04/13,700033,Indrani Park,13
2024/04/13,700034,Behala,14
2024/04/13,700042,Kasba,16
2024/04/13,700044,Badartala,9
2024/04/13,700046,Abinash Chaowdhury Lane,13
2024/04/13,700047,Ganguly Bagan,12
2024/04/13,700053,Kalabagan,12
2024/04/13,700054,Bengal Chemical,15
2024/04/13,700061,Jairampur,11
2024/04/13,700066,Bidhangarh,4
2024/04/13,700068,Jodhpur Park,10
2024/04/13,700069,Great Eastern Hotel,21
2024/04/13,700073,Colootola,23
2024/04/13,700075,Garfa,9
2024/04/13,700078,Haltu,12
2024/04/13,700082,Haridevpur,13
2024/04/13,700085,K.G. Bose Sarani,7
2024/04/13,700086,Baghajatin,6
2024/04/13,700088,Brace Bridge,12
2024/04/13,700095,Golf Green,7
2024/04/13,700099,Kalikapur,12
2024/04/13,700107,E.K.T,5
2024/04/13,700141,Daulatpur,12
2024/04/13,700008,Barisha,7
2024/04/13,700010,Beleghata,13
2024/04/13,700012,Bowbazar,11
2024/04/13,700015,Entally,16
2024/04/13,700017,Kidderpore,8
2024/04/13,700018,Bartala,14
2024/04/13,700021,Fort William,21
2024/04/13,700024,Garden Reach,7
2024/04/13,700072,Hindustan Building,20
2024/04/13,700135,Rajarhat,19
2024/04/13,700136,New Town,24
2024/04/13,700023,Khiddirpore,11
2024/04/13,700091,Salt Lake Sector I,16
2024/04/13,700098,Bidhan Nagar,22
2024/04/13,700105,Kankurgachi,13
2024/04/13,700106,Phool Bagan,11
2024/04/13,700108,Shyambazar,19
2024/04/13,700109,Bagbazar,6
2024/04/14,700001,B.B.D. Bagh,16
2024/04/14,700007,Esplanade,22
2024/04/14,700013,Chittaranjan Avenue,15
2024/04/14,700014,Bhowanipore,9
2024/04/14,700016,Park Street,20
2024/04/14,700019,Ballygunge,14
2024/04/14,700020,A.J.C. Bose Road,13
2024/04/14,700022,Hastings,12
2024/04/14,700025,Bhawanipore,7
2024/04/14,700026,Kalighat,11
2024/04/14,700027,Alipore,10
2024/04/14,700029,Dover Lane,9
2024/04/14,700031,Dhakuria,11
2024/04/14,700032,Bijoygarh,5
2024/04/14,700033,Indrani Park,13
2024/04/14,700034,Behala,7
2024/04/14,700042,Kasba,7
2024/04/14,700044,Badartala,8
2024/04/14,700046,Abinash Chaowdhury Lane,6
2024/04/14,700047,Ganguly Bagan,13
2024/04/14,700053,Kalabagan,4
2024/04/14,700054,Bengal Chemical,17
2024/04/14,700061,Jairampur,6
2024/04/14,700066,Bidhangarh,5
2024/04/14,700068,Jodhpur Park,11
2024/04/14,700069,Great Eastern Hotel,11
2024/04/14,700073,Colootola,21
2024/04/14,700075,Garfa,12
2024/04/14,700078,Haltu,8
2024/04/14,700082,Haridevpur,12
2024/04/14,700085,K.G. Bose Sarani,9
2024/04/14,700086,Baghajatin,12
2024/04/14,700088,Brace Bridge,8
2024/04/14,700095,Golf Green,8
2024/04/14,700099,Kalikapur,8
2024/04/14,700107,E.K.T,8
2024/04/14,700141,Daulatpur,7
2024/04/14,700008,Barisha,9
2024/04/14,700010,Beleghata,15
2024/04/14,700012,Bowbazar,14
2024/04/14,700015,Entally,14
2024/04/14,700017,Kidderpore,4
2024/04/14,700018,Bartala,8
2024/04/14,700021,Fort William,12
2024/04/14,700024,Garden Reach,7
2024/04/14,700072,Hindustan Building,22
2024/04/14,700135,Rajarhat,16
2024/04/14,700136,New Town,8
2024/04/14,700023,Khiddirpore,6
2024/04/14,700091,Salt Lake Sector I,6
2024/04/14,700098,Bidhan Nagar,10
2024/04/14,700105,Kankurgachi,8
2024/04/14,700106,Phool Bagan,7
2024/04/14,700108,Shyambazar,24
2024/04/14,700109,Bagbazar,6
2024/04/15,700001,B.B.D. Bagh,27
2024/04/15,700007,Esplanade,29
2024/04/15,700013,Chittaranjan Avenue,23
2024/04/15,700014,Bhowanipore,10
2024/04/15,700016,Park Street,27
2024/04/15,700019,Ballygunge,14
2024/04/15,700020,A.J.C. Bose Road,18
2024/04/15,700022,Hastings,15
2024/04/15,700025,Bhawanipore,15
2024/04/15,700026,Kalighat,13
2024/04/15,700027,Alipore,11
2024/04/15,700029,Dover Lane,15
2024/04/15,700031,Dhakuria,12
2024/04/15,700032,Bijoygarh,11
2024/04/15,700033,Indrani Park,17
2024/04/15,700034,Behala,9
2024/04/15,700042,Kasba,11
2024/04/15,700044,Badartala,11
2024/04/15,700046,Abinash Chaowdhury Lane,8
2024/04/15,700047,Ganguly Bagan,16
2024/04/15,700053,Kalabagan,8
2024/04/15,700054,Bengal Chemical,20
2024/04/15,700061,Jairampur,17
2024/04/15,700066,Bidhangarh,8
2024/04/15,700068,Jodhpur Park,5
2024/04/15,700069,Great Eastern Hotel,36
2024/04/15,700073,Colootola,27
2024/04/15,700075,Garfa,9
2024/04/15,700078,Haltu,7
2024/04/15,700082,Haridevpur,19
2024/04/15,700085,K.G. Bose Sarani,12
2024/04/15,700086,Baghajatin,15
2024/04/15,700088,Brace Bridge,12
2024/04/15,700095,Golf Green,11
2024/04/15,700099,Kalikapur,12
2024/04/15,700107,E.K.T,15
2024/04/15,700141,Daulatpur,15
2024/04/15,700008,Barisha,14
2024/04/15,700010,Beleghata,19
2024/04/15,700012,Bowbazar,25
2024/04/15,700015,Entally,16
2024/04/15,700017,Kidderpore,7
2024/04/15,700018,Bartala,11
2024/04/15,700021,Fort William,23
2024/04/15,700024,Garden Reach,13
2024/04/15,700072,Hindustan Building,32
2024/04/15,700135,Rajarhat,15
2024/04/15,700136,New Town,21
2024/04/15,700023,Khiddirpore,6
2024/04/15,700091,Salt Lake Sector I,12
2024/04/15,700098,Bidhan Nagar,21
2024/04/15,700105,Kankurgachi,10
2024/04/15,700106,Phool Bagan,11
2024/04/15,700108,Shyambazar,20
2024/04/15,700109,Bagbazar,8
2024/04/16,700001,B.B.D. Bagh,30
2024/04/16,700007,Esplanade,24
2024/04/16,700013,Chittaranjan Avenue,20
2024/04/16,700014,Bhowanipore,16
2024/04/16,700016,Park Street,17
2024/04/16,700019,Ballygunge,10
2024/04/16,700020,A.J.C. Bose Road,19
2024/04/16,700022,Hastings,14
2024/04/16,700025,Bhawanipore,13
2024/04/16,700026,Kalighat,21
2024/04/16,700027,Alipore,13
2024/04/16,700029,Dover Lane,13
2024/04/16,700031,Dhakuria,15
2024/04/16,700032,Bijoygarh,6
2024/04/16,700033,Indrani Park,8
2024/04/16,700034,Behala,15
2024/04/16,700042,Kasba,16
2024/04/16,700044,Badartala,11
2024/04/16,700046,Abinash Chaowdhury Lane,6
2024/04/16,700047,Ganguly Bagan,10
2024/04/16,700053,Kalabagan,12
2024/04/16,700054,Bengal Chemical,13
2024/04/16,700061,Jairampur,16
2024/04/16,700066,Bidhangarh,13
2024/04/16,700068,Jodhpur Park,17
2024/04/16,700069,Great Eastern Hotel,35
2024/04/16,700073,Colootola,31
2024/04/16,700075,Garfa,10
2024/04/16,700078,Haltu,8
2024/04/16,700082,Haridevpur,11
2024/04/16,700085,K.G. Bose Sarani,15
2024/04/16,700086,Baghajatin,18
2024/04/16,700088,Brace Bridge,11
2024/04/16,700095,Golf Green,14
2024/04/16,700099,Kalikapur,12
2024/04/16,700107,E.K.T,14
2024/04/16,700141,Daulatpur,11
2024/04/16,700008,Barisha,5
2024/04/16,700010,Beleghata,13
2024/04/16,700012,Bowbazar,30
2024/04/16,700015,Entally,25
2024/04/16,700017,Kidderpore,11
2024/04/16,700018,Bartala,15
2024/04/16,700021,Fort William,22
2024/04/16,700024,Garden Reach,12
2024/04/16,700072,Hindustan Building,26
2024/04/16,700135,Rajarhat,14
2024/04/16,700136,New Town,13
2024/04/16,700023,Khiddirpore,16
2024/04/16,700091,Salt Lake Sector I,16
2024/04/16,700098,Bidhan Nagar,18
2024/04/16,700105,Kankurgachi,8
2024/04/16,700106,Phool Bagan,11
2024/04/16,700108,Shyambazar,30
2024/04/16,700109,Bagbazar,8
2024/04/17,700001,B.B.D. Bagh,29
2024/04/17,700007,Esplanade,32
2024/04/17,700013,Chittaranjan Avenue,21
2024/04/17,700014,Bhowanipore,13
2024/04/17,700016,Park Street,25
2024/04/17,700019,Ballygunge,10
2024/04/17,700020,A.J.C. Bose Road,15
2024/04/17,700022,Hastings,12
2024/04/17,700025,Bhawanipore,12
2024/04/17,700026,Kalighat,14
2024/04/17,700027,Alipore,11
2024/04/17,700029,Dover Lane,11
2024/04/17,700031,Dhakuria,14
2024/04/17,700032,Bijoygarh,13
2024/04/17,700033,Indrani Park,16
2024/04/17,700034,Behala,10
2024/04/17,700042,Kasba,18
2024/04/17,700044,Badartala,15
2024/04/17,700046,Abinash Chaowdhury Lane,23
2024/04/17,700047,Ganguly Bagan,11
2024/04/17,700053,Kalabagan,10
2024/04/17,700054,Bengal Chemical,17
2024/04/17,700061,Jairampur,8
2024/04/17,700066,Bidhangarh,12
2024/04/17,700068,Jodhpur Park,16
2024/04/17,700069,Great Eastern Hotel,27
2024/04/17,700073,Colootola,16
2024/04/17,700075,Garfa,7
2024/04/17,700078,Haltu,14
2024/04/17,700082,Haridevpur,9
2024/04/17,700085,K.G. Bose Sarani,10
2024/04/17,700086,Baghajatin,12
2024/04/17,700088,Brace Bridge,15
2024/04/17,700095,Golf Green,11
2024/04/17,700099,Kalikapur,12
2024/04/17,700107,E.K.T,12
2024/04/17,700141,Daulatpur,10
2024/04/17,700008,Barisha,11
2024/04/17,700010,Beleghata,20
2024/04/17,700012,Bowbazar,26
2024/04/17,700015,Entally,14
2024/04/17,700017,Kidderpore,12
2024/04/17,700018,Bartala,12
2024/04/17,700021,Fort William,20
2024/04/17,700024,Garden Reach,7
2024/04/17,700072,Hindustan Building,19
2024/04/17,700135,Rajarhat,17
2024/04/17,700136,New Town,19
2024/04/17,700023,Khiddirpore,8
2024/04/17,700091,Salt Lake Sector I,18
2024/04/17,700098,Bidhan Nagar,14
2024/04/17,700105,Kankurgachi,11
2024/04/17,700106,Phool Bagan,15
2024/04/17,700108,Shyambazar,20
2024/04/17,700109,Bagbazar,11
2024/04/18,700001,B.B.D. Bagh,22
2024/04/18,700007,Esplanade,31
2024/04/18,700013,Chittaranjan Avenue,26
2024/04/18,700014,Bhowanipore,15
2024/04/18,700016,Park Street,23
2024/04/18,700019,Ballygunge,11
2024/04/18,700020,A.J.C. Bose Road,26
2024/04/18,700022,Hastings,5
2024/04/18,700025,Bhawanipore,15
2024/04/18,700026,Kalighat,21
2024/04/18,700027,Alipore,14
2024/04/18,700029,Dover Lane,13
2024/04/18,700031,Dhakuria,14
2024/04/18,700032,Bijoygarh,12
2024/04/18,700033,Indrani Park,11
2024/04/18,700034,Behala,8
2024/04/18,700042,Kasba,14
2024/04/18,700044,Badartala,11
2024/04/18,700046,Abinash Chaowdhury Lane,7
2024/04/18,700047,Ganguly Bagan,15
2024/04/18,700053,Kalabagan,11
2024/04/18,700054,Bengal Chemical,26
2024/04/18,700061,Jairampur,18
2024/04/18,700066,Bidhangarh,22
2024/04/18,700068,Jodhpur Park,11
2024/04/18,700069,Great Eastern Hotel,22
2024/04/18,700073,Colootola,21
2024/04/18,700075,Garfa,12
2024/04/18,700078,Haltu,8
2024/04/18,700082,Haridevpur,9
2024/04/18,700085,K.G. Bose Sarani,13
2024/04/18,700086,Baghajatin,14
2024/04/18,700088,Brace Bridge,7
2024/04/18,700095,Golf Green,9
2024/04/18,700099,Kalikapur,13
2024/04/18,700107,E.K.T,13
2024/04/18,700141,Daulatpur,10
2024/04/18,700008,Barisha,16
2024/04/18,700010,Beleghata,24
2024/04/18,700012,Bowbazar,26
2024/04/18,700015,Entally,20
2024/04/18,700017,Kidderpore,14
2024/04/18,700018,Bartala,8
2024/04/18,700021,Fort William,22
2024/04/18,700024,Garden Reach,15
2024/04/18,700072,Hindustan Building,24
2024/04/18,700135,Rajarhat,18
2024/04/18,700136,New Town,19
2024/04/18,700023,Khiddirpore,14
2024/04/18,700091,Salt Lake Sector I,24
2024/04/18,700098,Bidhan Nagar,25
2024/04/18,700105,Kankurgachi,9
2024/04/18,700106,Phool Bagan,14
2024/04/18,700108,Shyambazar,21
2024/04/18,700109,Bagbazar,18
2024/04/19,700001,B.B.D. Bagh,23
2024/04/19,700007,Esplanade,24
2024/04/19,700013,Chittaranjan Avenue,25
2024/04/19,700014,Bhowanipore,16
2024/04/19,700016,Park Street,24
2024/04/19,700019,Ballygunge,11
2024/04/19,700020,A.J.C. Bose Road,15
2024/04/19,700022,Hastings,16
2024/04/19,700025,Bhawanipore,5
2024/04/19,700026,Kalighat,17
2024/04/19,700027,Alipore,10
2024/04/19,700029,Dover Lane,14
2024/04/19,700031,Dhakuria,9
2024/04/19,700032,Bijoygarh,16
2024/04/19,700033,Indrani Park,16
2024/04/19,700034,Behala,13
2024/04/19,700042,Kasba,12
2024/04/19,700044,Badartala,12
2024/04/19,700046,Abinash Chaowdhury Lane,13
2024/04/19,700047,Ganguly Bagan,12
2024/04/19,700053,Kalabagan,8
2024/04/19,700054,Bengal Chemical,14
2024/04/19,700061,Jairampur,9
2024/04/19,700066,Bidhangarh,14
2024/04/19,700068,Jodhpur Park,19
2024/04/19,700069,Great Eastern Hotel,15
2024/04/19,700073,Colootola,13
2024/04/19,700075,Garfa,9
2024/04/19,700078,Haltu,13
2024/04/19,700082,Haridevpur,8
2024/04/19,700085,K.G. Bose Sarani,9
2024/04/19,700086,Baghajatin,12
2024/04/19,700088,Brace Bridge,12
2024/04/19,700095,Golf Green,13
2024/04/19,700099,Kalikapur,9
2024/04/19,700107,E.K.T,12
2024/04/19,700141,Daulatpur,8
2024/04/19,700008,Barisha,11
2024/04/19,700010,Beleghata,15
2024/04/19,700012,Bowbazar,23
2024/04/19,700015,Entally,23
2024/04/19,700017,Kidderpore,16
2024/04/19,700018,Bartala,12
2024/04/19,700021,Fort William,26
2024/04/19,700024,Garden Reach,13
2024/04/19,700072,Hindustan Building,30
2024/04/19,700135,Rajarhat,19
2024/04/19,700136,New Town,24
2024/04/19,700023,Khiddirpore,13
2024/04/19,700091,Salt Lake Sector I,30
2024/04/19,700098,Bidhan Nagar,28
2024/04/19,700105,Kankurgachi,12
2024/04/19,700106,Phool Bagan,13
2024/04/19,700108,Shyambazar,30
2024/04/19,700109,Bagbazar,9
2024/04/20,700001,B.B.D. Bagh,20
2024/04/20,700007,Esplanade,20
2024/04/20,700013,Chittaranjan Avenue,24
2024/04/20,700014,Bhowanipore,7
2024/04/20,700016,Park Street,14
2024/04/20,700019,Ballygunge,7
2024/04/20,700020,A.J.C. Bose Road,17
2024/04/20,700022,Hastings,7
2024/04/20,700025,Bhawanipore,12
2024/04/20,700026,Kalighat,15
2024/04/20,700027,Alipore,12
2024/04/20,700029,Dover Lane,13
2024/04/20,700031,Dhakuria,11
2024/04/20,700032,Bijoygarh,4
2024/04/20,700033,Indrani Park,10
2024/04/20,700034,Behala,10
2024/04/20,700042,Kasba,8
2024/04/20,700044,Badartala,8
2024/04/20,700046,Abinash Chaowdhury Lane,7
2024/04/20,700047,Ganguly Bagan,14
2024/04/20,700053,Kalabagan,9
2024/04/20,700054,Bengal Chemical,17
2024/04/20,700061,Jairampur,12
2024/04/20,700066,Bidhangarh,8
2024/04/20,700068,Jodhpur Park,7
2024/04/20,700069,Great Eastern Hotel,11
2024/04/20,700073,Colootola,17
2024/04/20,700075,Garfa,9
2024/04/20,700078,Haltu,8
2024/04/20,700082,Haridevpur,17
2024/04/20,700085,K.G. Bose Sarani,8
2024/04/20,700086,Baghajatin,11
2024/04/20,700088,Brace Bridge,6
2024/04/20,700095,Golf Green,7
2024/04/20,700099,Kalikapur,9
2024/04/20,700107,E.K.T,7
2024/04/20,700141,Daulatpur,8
2024/04/20,700008,Barisha,12
2024/04/20,700010,Beleghata,13
2024/04/20,700012,Bowbazar,30
2024/04/20,700015,Entally,18
2024/04/20,700017,Kidderpore,5
2024/04/20,700018,Bartala,12
2024/04/20,700021,Fort William,35
2024/04/20,700024,Garden Reach,10
2024/04/20,700072,Hindustan Building,17
2024/04/20,700135,Rajarhat,20
2024/04/20,700136,New Town,18
2024/04/20,700023,Khiddirpore,16
2024/04/20,700091,Salt Lake Sector I,14
2024/04/20,700098,Bidhan Nagar,12
2024/04/20,700105,Kankurgachi,9
2024/04/20,700106,Phool Bagan,10
2024/04/20,700108,Shyambazar,18
2024/04/20,700109,Bagbazar,12
2024/04/21,700001,B.B.D. Bagh,21
2024/04/21,700007,Esplanade,14
2024/04/21,700013,Chittaranjan Avenue,20
2024/04/21,700014,Bhowanipore,5
2024/04/21,700016,Park Street,15
2024/04/21,700019,Ballygunge,7
2024/04/21,700020,A.J.C. Bose Road,18
2024/04/21,700022,Hastings,7
2024/04/21,700025,Bhawanipore,12
2024/04/21,700026,Kalighat,12
2024/04/21,700027,Alipore,10
2024/04/21,700029,Dover Lane,8
2024/04/21,700031,Dhakuria,10
2024/04/21,700032,Bijoygarh,8
2024/04/21,700033,Indrani Park,6
2024/04/21,700034,Behala,10
2024/04/21,700042,Kasba,9
2024/04/21,700044,Badartala,6
2024/04/21,700046,Abinash Chaowdhury Lane,12
2024/04/21,700047,Ganguly Bagan,11
2024/04/21,700053,Kalabagan,11
2024/04/21,700054,Bengal Chemical,9
2024/04/21,700061,Jairampur,9
2024/04/21,700066,Bidhangarh,9
2024/04/21,700068,Jodhpur Park,12
2024/04/21,700069,Great Eastern Hotel,14
2024/04/21,700073,Colootola,12
2024/04/21,700075,Garfa,8
2024/04/21,700078,Haltu,9
2024/04/21,700082,Haridevpur,12
2024/04/21,700085,K.G. Bose Sarani,8
2024/04/21,700086,Baghajatin,11
2024/04/21,700088,Brace Bridge,7
2024/04/21,700095,Golf Green,5
2024/04/21,700099,Kalikapur,9
2024/04/21,700107,E.K.T,4
2024/04/21,700141,Daulatpur,10
2024/04/21,700008,Barisha,6
2024/04/21,700010,Beleghata,15
2024/04/21,700012,Bowbazar,12
2024/04/21,700015,Entally,10
2024/04/21,700017,Kidderpore,9
2024/04/21,700018,Bartala,9
2024/04/21,700021,Fort William,15
2024/04/21,700024,Garden Reach,15
2024/04/21,700072,Hindustan Building,20
2024/04/21,700135,Rajarhat,15
2024/04/21,700136,New Town,15
2024/04/21,700023,Khiddirpore,10
2024/04/21,700091,Salt Lake Sector I,17
2024/04/21,700098,Bidhan Nagar,7
2024/04/21,700105,Kankurgachi,7
2024/04/21,700106,Phool Bagan,9
2024/04/21,700108,Shyambazar,18
2024/04/21,700109,Bagbazar,10
2024/04/22,700001,B.B.D. Bagh,27
2024/04/22,700007,Esplanade,24
2024/04/22,700013,Chittaranjan Avenue,30
2024/04/22,700014,Bhowanipore,16
2024/04/22,700016,Park Street,22
2024/04/22,700019,Ballygunge,10
